% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
254.0,1524.0,6.0,0.0,1524.0,254.0,254.0,7968.0,1328.0,1328.0,No
94.0,588.0,18.0,0.0,576.0,94.0,32.0,8694.0,1328.0,483.0,No
67.0,402.0,6.0,0.0,402.0,67.0,67.0,7968.0,1328.0,1328.0,No
79.0,474.0,6.0,0.0,474.0,79.0,79.0,7968.0,1328.0,1328.0,No
51.0,306.0,6.0,0.0,306.0,51.0,51.0,7968.0,1328.0,1328.0,No
67.0,402.0,6.0,0.0,402.0,67.0,67.0,7968.0,1328.0,1328.0,No
64.0,384.0,6.0,0.0,384.0,64.0,64.0,7968.0,1328.0,1328.0,No
87.0,522.0,6.0,0.0,522.0,87.0,87.0,7968.0,1328.0,1328.0,No
46.0,276.0,6.0,0.0,276.0,46.0,46.0,7968.0,1328.0,1328.0,No
139.0,1680.0,18.0,0.0,1674.0,140.0,93.0,744.0,118.0,41.0,No
88.0,2460.0,24.0,0.0,1188.0,190.0,49.0,8706.0,1328.0,362.0,No
215.0,3360.0,24.0,0.0,2004.0,322.0,83.0,8706.0,1328.0,362.0,No
214.0,1284.0,6.0,0.0,1284.0,214.0,214.0,7968.0,1328.0,1328.0,No
39.0,234.0,6.0,0.0,234.0,39.0,39.0,7968.0,1328.0,1328.0,No
168.0,1026.0,18.0,0.0,1026.0,165.0,57.0,8694.0,1328.0,483.0,No
202.0,1212.0,6.0,0.0,1212.0,202.0,202.0,7968.0,1328.0,1328.0,No
215.0,1290.0,6.0,0.0,1290.0,215.0,215.0,7968.0,1328.0,1328.0,No
149.0,894.0,6.0,0.0,894.0,149.0,149.0,7968.0,1328.0,1328.0,No
107.0,642.0,6.0,0.0,642.0,107.0,107.0,7968.0,1328.0,1328.0,No
67.0,402.0,6.0,0.0,402.0,67.0,67.0,7968.0,1328.0,1328.0,No
158.0,948.0,6.0,0.0,948.0,158.0,158.0,7968.0,1328.0,1328.0,No
112.0,672.0,6.0,0.0,672.0,112.0,112.0,7968.0,1328.0,1328.0,No
66.0,396.0,6.0,0.0,396.0,66.0,66.0,7968.0,1328.0,1328.0,No
155.0,1326.0,18.0,0.0,1128.0,170.0,62.0,8076.0,1328.0,448.0,No
192.0,1812.0,42.0,0.0,1530.0,176.0,36.0,8844.0,1328.0,210.0,No
123.0,738.0,6.0,0.0,738.0,123.0,123.0,7968.0,1328.0,1328.0,No
224.0,1584.0,30.0,0.0,1464.0,224.0,48.0,8850.0,1328.0,295.0,Yes
82.0,492.0,6.0,0.0,492.0,82.0,82.0,7968.0,1328.0,1328.0,No
72.0,432.0,6.0,0.0,432.0,72.0,72.0,7968.0,1328.0,1328.0,No
275.0,2148.0,54.0,0.0,1908.0,270.0,35.0,9024.0,1328.0,167.0,No
96.0,630.0,18.0,0.0,594.0,99.0,33.0,8676.0,1328.0,482.0,No
168.0,1008.0,6.0,0.0,1008.0,168.0,168.0,7968.0,1328.0,1328.0,No
28.0,168.0,6.0,0.0,168.0,28.0,28.0,7968.0,1328.0,1328.0,No
164.0,984.0,6.0,0.0,984.0,164.0,164.0,7968.0,1328.0,1328.0,No
135.0,810.0,6.0,0.0,810.0,135.0,135.0,7968.0,1328.0,1328.0,No
88.0,564.0,12.0,0.0,546.0,88.0,45.0,8016.0,1328.0,668.0,No
72.0,432.0,6.0,0.0,432.0,72.0,72.0,7968.0,1328.0,1328.0,No
93.0,558.0,6.0,0.0,558.0,93.0,93.0,7968.0,1328.0,1328.0,No
242.0,1464.0,12.0,0.0,1458.0,231.0,121.0,8016.0,1328.0,668.0,No
68.0,408.0,6.0,0.0,408.0,68.0,68.0,7968.0,1328.0,1328.0,No
58.0,348.0,6.0,0.0,348.0,58.0,58.0,7968.0,1328.0,1328.0,No
40.0,240.0,6.0,0.0,240.0,40.0,40.0,7968.0,1328.0,1328.0,No
183.0,1242.0,12.0,0.0,1170.0,188.0,97.0,8010.0,1328.0,667.0,No
55.0,330.0,6.0,0.0,330.0,55.0,55.0,7968.0,1328.0,1328.0,No
